<soft> Caption: NUnitForms v2.0 alpha5 ; InstallDate: 20191021</soft>
<soft> Caption: FARO LS 1.1.700.0 (64bit) ; InstallDate: 20190213</soft>
<soft> Caption: Viber ; InstallDate: 20190223</soft>
<soft> Caption: Autodesk Genuine Service ; InstallDate: 20190213</soft>
<soft> Caption: Autodesk App Manager 2016-2019 ; InstallDate: 20190213</soft>
<soft> Caption: Голосовой помощник Алиса ; InstallDate: 20190914</soft>
<soft> Caption: Рекомендованные приложения Autodesk 2016-2019 ; InstallDate: 20190213</soft>
<soft> Caption: Microsoft Office 32-bit Components 2013 ; InstallDate: 20200416</soft>
<soft> Caption: Microsoft Office Shared 32-bit MUI (Russian) 2013 ; InstallDate: 20200416</soft>
<soft> Caption: Microsoft Office OSM MUI (Russian) 2013 ; InstallDate: 20191108</soft>
<soft> Caption: Microsoft Project MUI (Russian) 2013 ; InstallDate: 20200416</soft>
<soft> Caption: Microsoft Project Professional 2013 ; InstallDate: 20200416</soft>
<soft> Caption: Microsoft Office Proofing (Russian) 2013 ; InstallDate: 20191108</soft>
<soft> Caption: Microsoft Office Shared MUI (Russian) 2013 ; InstallDate: 20200416</soft>
<soft> Caption: Засоби перевірки правопису Microsoft Office 2013 – українська мова ; InstallDate: 20191108</soft>
<soft> Caption: Microsoft Office Korrekturhilfen 2013 - Deutsch ; InstallDate: 20191108</soft>
<soft> Caption: Microsoft Office Proofing Tools 2013 - English ; InstallDate: 20191108</soft>
<soft> Caption: Средства проверки правописания Microsoft Office 2013 — русский ; InstallDate: 20191108</soft>
<soft> Caption: Microsoft Access database engine 2016 (English) ; InstallDate: 20200301</soft>
<soft> Caption: Office 16 Click-to-Run Extensibility Component ; InstallDate: 20200419</soft>
<soft> Caption: Office 16 Click-to-Run Localization Component ; InstallDate: 20200419</soft>
<soft> Caption: Office 16 Click-to-Run Localization Component ; InstallDate: 20200419</soft>
<soft> Caption: Office 16 Click-to-Run Licensing Component ; InstallDate: 20200419</soft>
<soft> Caption: Microsoft .NET Framework 4.5.1 Multi-Targeting Pack ; InstallDate: 20190215</soft>
<soft> Caption: Пакет нацеливания Microsoft .NET Framework 4.7.2 (Русский) ; InstallDate: 20190215</soft>
<soft> Caption: Autodesk ReCap ; InstallDate: 20190213</soft>
<soft> Caption: Autodesk License Service (x64) - 7.1.4 ; InstallDate: 20190213</soft>
<soft> Caption: Universal CRT Headers Libraries and Sources ; InstallDate: 20190507</soft>
<soft> Caption: MSI Development Tools ; InstallDate: 20190326</soft>
<soft> Caption: Windows SDK for Windows Store Apps DirectX x86 Remote ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Portable Library Multi-Targeting Pack Language Pack - rus ; InstallDate: 20190404</soft>
<soft> Caption: WinRT Intellisense Mobile - en-us ; InstallDate: 20190326</soft>
<soft> Caption: SQL Server 2016 Master Data Services ; InstallDate: 20190404</soft>
<soft> Caption: Языковой пакет для языковой поддержки набора средств Microsoft Visual Studio Tools для работы с приложениями 2015 — RUS ; InstallDate: 20190404</soft>
<soft> Caption: Windows SDK EULA ; InstallDate: 20190326</soft>
<soft> Caption: Управляющие объекты Microsoft SQL Server 2014  ; InstallDate: 20190404</soft>
<soft> Caption: Пакет SDK Microsoft .NET Framework 4.6.1 (Русский) ; InstallDate: 20190404</soft>
<soft> Caption: Windows SDK Redistributables ; InstallDate: 20190507</soft>
<soft> Caption: SQL Server 2017 Connection Info ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft .NET Framework 4.6.1 SDK ; InstallDate: 20190404</soft>
<soft> Caption: MSI Development Tools ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft ASP.NET Diagnostic Pack for Visual Studio ; InstallDate: 20190215</soft>
<soft> Caption: WinRT Intellisense PPI - en-us ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft XNA Framework Redistributable 4.0 ; InstallDate: 20190506</soft>
<soft> Caption: Windows SDK Desktop Tools x86 ; InstallDate: 20190507</soft>
<soft> Caption: Autodesk ReCap Photo ; InstallDate: 20190213</soft>
<soft> Caption: Microsoft Visual C++ 2005 Redistributable - x86 8.0.50727.4053 False ; InstallDate: 20190217</soft>
<soft> Caption: VS JIT Debugger ; InstallDate: 20190215</soft>
<soft> Caption: Autodesk Revit Interoperability for 3ds Max 2019 ; InstallDate: 20190214</soft>
<soft> Caption: SQL Server 2017 Common Files ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft .NET Framework 4.5 Multi-Targeting Pack ; InstallDate: 20190215</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 False ; InstallDate: 20190217</soft>
<soft> Caption: SQL Server 2017 Batch Parser ; InstallDate: 20190404</soft>
<soft> Caption: Windows SDK Desktop Tools x64 ; InstallDate: 20190507</soft>
<soft> Caption: WPTx64 ; InstallDate: 20190507</soft>
<soft> Caption: Windows SDK Desktop Headers arm ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660 False ; InstallDate: 20190217</soft>
<soft> Caption: WinRT Intellisense PPI - en-us ; InstallDate: 20190507</soft>
<soft> Caption: WinRT Intellisense UAP - Other Languages ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022 False ; InstallDate: 20190217</soft>
<soft> Caption: Microsoft Build Tools 14.0 (x86) ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft Visual C++ 2010 Redistributable - x64 10.0.40219 ; InstallDate: 20191108</soft>
<soft> Caption: Microsoft Web Deploy 4.0 ; InstallDate: 20190215</soft>
<soft> Caption: Autodesk Advanced Material Library Base Resolution Image Library 2019 ; InstallDate: 20190214</soft>
<soft> Caption: Windows SDK for Windows Store Managed Apps Libs ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Visual C++ 2005 Redistributable - x64 8.0.61000 ; InstallDate: 20190217</soft>
<soft> Caption: Пакет многоплатформенного нацеливания Microsoft .NET Framework 4.5.1 (Русский) ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664 ; InstallDate: 20190217</soft>
<soft> Caption: Windows SDK ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft .NET Framework 4.7.2 SDK ; InstallDate: 20190215</soft>
<soft> Caption: Microsoft Visual C++ 2010 Redistributable - x86 10.0.40219 ; InstallDate: 20191108</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022.0 False ; InstallDate: 20190217</soft>
<soft> Caption: vs_BlendMsi ; InstallDate: 20190215</soft>
<soft> Caption: Windows SDK for Windows Store Apps Contracts ; InstallDate: 20190507</soft>
<soft> Caption: Windows SDK Signing Tools ; InstallDate: 20190507</soft>
<soft> Caption: Windows IoT Extension SDK ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005 False ; InstallDate: 20190217</soft>
<soft> Caption: Windows SDK EULA ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005 False ; InstallDate: 20190217</soft>
<soft> Caption: SQL Server 2017 Shared Management Objects Extensions ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft SQL Server 2017 Setup (English) ; InstallDate: 20191111</soft>
<soft> Caption: IntelliTraceProfilerProxy ; InstallDate: 20190215</soft>
